L	N	Va	alpha	genlen	r	gen	kvar	zbar	ac_var	ac_cov	neut_ssh	sel_ssh	sel_het	neut_het	neut_ssh_delta	neut_ssh0	sel_ssh0	zvar0	var_type	variance	cov
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	7	2.032132132132132	0.04104984691911314	0.004993702010713566	-5.155868183929748e-5	66.99298387	61.03121872	0.12206243743999999	0.12112930346972353	0.9991453784158786	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009893014257229823	1.014976111270093e-4
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	8	2.0336336336336336	0.050502563604843106	0.004988453698702435	-7.307715244000205e-5	66.93573022	60.96707575	0.1219341515	0.1210257837525087	0.9991118463964671	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009885256378131455	1.0032618397561706e-4
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	9	2.028928928928929	0.05970384559790957	0.004981047284004989	-7.829821114863294e-5	66.87628101	60.87655723	0.12175311446	0.12091829426654853	0.9982235296549724	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009813903261842359	9.855266976412424e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	10	2.0430630630630633	0.06942411130553783	0.00497275381595861	-4.1981425573988854e-5	66.75747728	60.775197465	0.12155039493	0.12070348650261269	0.9982064941654727	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.00985653478143511	9.79600320731028e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	11	2.046886886886887	0.07963509670581609	0.004965566122759839	-5.281724717094604e-5	66.637747355	60.68735208	0.12137470416	0.12048700409532247	0.9983285012711096	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.00987566645158247	9.715914400973432e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	12	2.039039039039039	0.08932760995754	0.004955522617211368	-5.723795081052291e-5	66.526362445	60.56460399	0.12112920798	0.12028561022112932	0.9978301914505043	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009820689891587112	9.56628561800828e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	13	2.0674474474474476	0.0989616767929123	0.004946492931161197	-6.164413757448557e-5	66.382012975	60.454246435	0.12090849287000001	0.12002461347569021	0.9970424322613729	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009838714061167205	9.491006025064804e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	14	2.032252252252252	0.108617868858107	0.00493451775083885	-7.918916454759661e-5	66.185683675	60.307890115	0.12061578023	0.11966963255103333	0.9975495558707771	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009757720934518628	9.323532102017016e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	15	2.042142142142142	0.11830437120924331	0.004921064684339352	-1.1262325389678681e-4	66.023499355	60.143471605	0.12028694321000001	0.11937638880250238	0.9975373699275502	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.00970171505643782	9.183782333622298e-5
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	16	2.0454854854854854	0.127318164260578	0.00490906633363691	-1.1947627305523425e-4	65.8609079	59.996832105	0.11999366421	0.11908240891749687	0.9971036503886396	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009578236818976684	8.984207397226932e-5
