N	rho	t0	t1	var	Ne	group
500	0	18	18	9.328253778911435e-4	536.5425430770246	A
500	0	19	19	9.294868491787322e-4	538.4696953407445	A
500	0	20	20	0.0010944734710905386	457.29797361081705	A
500	0	21	21	9.96433973573499e-4	502.2916859263255	A
500	0	22	22	0.0010074485175467186	496.80007641411885	A
500	0	23	23	0.0011155475200300808	448.65905890499806	A
500	0	24	24	0.0010690156427132504	468.1881915499278	A
500	0	25	25	0.0010036703589821464	498.67020184602615	A
500	0	26	26	0.001046419600108291	478.29809423361826	A
500	0	27	27	9.221282186011583e-4	542.7667111844221	A
500	0	28	28	9.066497852415039e-4	552.0328892673618	A
500	0	29	29	0.0010958330269004478	456.73062247098073	A
500	0	30	30	8.707483640953748e-4	574.7935007842055	A
500	0	31	31	0.0011449864283452813	437.123522262021	A
500	0	32	32	9.353650395423143e-4	535.085746571629	A
500	0	33	33	8.759823543096394e-4	571.3591124731552	A
500	0	34	34	0.0010470690605290946	478.00142260682645	A
500	0	35	35	0.0010385203878040764	481.93613373233376	A
500	0	36	36	9.613399508246976e-4	520.6280047668256	A
500	0	37	37	0.0010146801423469396	493.25938255069275	A
500	0	38	38	0.0010755003888868462	465.36524363187226	A
500	0	39	39	0.0011134564995143054	449.5016201520409	A
500	0	40	40	0.00103085025394525	485.5220228010759	A
500	0	41	41	0.0010549481812744206	474.4313601222341	A
500	0	42	42	0.0011478157465066325	436.0460309276724	A
500	0	43	43	8.789787473199202e-4	569.4113788604883	A
500	0	44	44	9.869420376421422e-4	507.12248684453976	A
500	0	45	45	0.0010347483633491928	483.69296171730053	A
500	0	46	46	8.782232359624521e-4	569.9012278489738	A
500	0	47	47	9.695080848136962e-4	516.2416985895258	A
500	0	48	48	0.0010015660432690634	499.71792061449185	A
500	0	49	49	9.214701856632249e-4	543.1543074182775	A
500	100	1	1	0.0010344528257995409	483.8311501673918	A
500	100	2	2	0.0010672667991609474	468.9553735710496	A
500	100	3	3	0.001115147123225542	448.8201512396071	A
500	100	4	4	0.0010043980122239162	498.3089317274764	A
500	100	5	5	9.989944303087728e-4	501.0042952349635	A
500	100	6	6	9.852712115381644e-4	507.98246679626413	A
500	100	7	7	0.0010158776618355504	492.6779269820397	A
500	100	8	8	9.62064478291753e-4	520.2359215976791	A
500	100	9	9	9.96792865568404e-4	502.1108374557824	A
500	100	10	10	9.757262923681885e-4	512.9517410930212	A
500	100	11	11	9.976357488244816e-4	501.6866136666036	A
500	100	12	12	0.0010014776750484535	499.7620146413002	A
500	100	13	13	0.0010920715987552598	458.30374223720275	A
500	100	14	14	9.968153570867383e-4	502.0995081408535	A
500	100	15	15	9.837332427889331e-4	508.7766466868157	A
500	100	16	16	0.0010105810910395635	495.26010820729505	A
500	100	17	17	9.918026403488917e-4	504.6371930653832	A
500	100	18	18	9.781895136054897e-4	511.6600551724537	A
500	100	19	19	9.691331081112273e-4	516.4414426785409	A
500	100	20	20	0.0010797209072034486	463.5461786109442	A
500	100	21	21	0.00100288775833	499.0593377407753	A
500	100	22	22	9.88588304966788e-4	506.27799053046147	A
500	100	23	23	9.96487131490476e-4	502.2648910196027	A
500	100	24	24	9.896049677798444e-4	505.7578698532221	A
