N	alpha	rec_frac	t0	t1	cov	gen
1000	0.05	0.02	5	92	-1.1846962938043803e-5	92
1000	0.05	0.02	5	93	3.6892587215235853e-5	93
1000	0.05	0.02	5	94	2.7535567430796465e-5	94
1000	0.05	0.02	5	95	-1.2437810953477042e-5	95
1000	0.05	0.02	5	96	8.709097727282575e-6	96
1000	0.05	0.02	5	97	-2.0248949921134357e-5	97
1000	0.05	0.02	5	98	-4.571298305482423e-5	98
1000	0.05	0.02	5	99	6.008208819404829e-5	99
1000	0.1	1e-4	5	6	2.790328509162791e-4	6
1000	0.1	1e-4	5	7	2.1974985362477328e-4	7
1000	0.1	1e-4	5	8	3.241448443447933e-4	8
1000	0.1	1e-4	5	9	1.50616434638025e-4	9
1000	0.1	1e-4	5	10	2.3253284427466516e-4	10
1000	0.1	1e-4	5	11	1.6244891663293808e-4	11
1000	0.1	1e-4	5	12	2.4188705135604706e-4	12
1000	0.1	1e-4	5	13	2.4391473442034748e-4	13
1000	0.1	1e-4	5	14	1.7905768069750107e-4	14
1000	0.1	1e-4	5	15	1.813558983701136e-4	15
1000	0.1	1e-4	5	16	2.4769921073233034e-4	16
1000	0.1	1e-4	5	17	1.3791801006374368e-4	17
1000	0.1	1e-4	5	18	3.147183018831718e-4	18
1000	0.1	1e-4	5	19	2.177316896030776e-4	19
1000	0.1	1e-4	5	20	1.051665461954653e-4	20
1000	0.1	1e-4	5	21	1.1323121136571891e-4	21
1000	0.1	1e-4	5	22	2.0007916597867664e-4	22
1000	0.1	1e-4	5	23	1.0308699950533624e-4	23
1000	0.1	1e-4	5	24	1.0941512545943605e-4	24
1000	0.1	1e-4	5	25	7.330400075978621e-5	25
1000	0.1	1e-4	5	26	6.615987014622699e-5	26
1000	0.1	1e-4	5	27	1.693324870765647e-4	27
1000	0.1	1e-4	5	28	1.2898803561979029e-4	28
1000	0.1	1e-4	5	29	1.4065170021526987e-4	29
1000	0.1	1e-4	5	30	1.1683479425706757e-4	30
1000	0.1	1e-4	5	31	1.3794029439845887e-4	31
1000	0.1	1e-4	5	32	1.5990258022818008e-4	32
1000	0.1	1e-4	5	33	1.4735673113552868e-4	33
1000	0.1	1e-4	5	34	2.1009824270837385e-5	34
1000	0.1	1e-4	5	35	1.2737814521528791e-4	35
1000	0.1	1e-4	5	36	9.255867168232845e-5	36
1000	0.1	1e-4	5	37	1.4660475119653482e-4	37
1000	0.1	1e-4	5	38	1.3937258673622855e-4	38
1000	0.1	1e-4	5	39	9.864422163998765e-5	39
1000	0.1	1e-4	5	40	2.5476247995015014e-5	40
1000	0.1	1e-4	5	41	1.258045586357678e-5	41
1000	0.1	1e-4	5	42	1.0443660783549582e-4	42
1000	0.1	1e-4	5	43	2.6776434879202757e-5	43
1000	0.1	1e-4	5	44	8.762074449831629e-5	44
1000	0.1	1e-4	5	45	1.0857634098106643e-4	45
1000	0.1	1e-4	5	46	1.0799858427289374e-4	46
1000	0.1	1e-4	5	47	1.922274163652953e-5	47
1000	0.1	1e-4	5	48	4.3826791584209995e-5	48
1000	0.1	1e-4	5	49	4.7702821103099814e-6	49
1000	0.1	1e-4	5	50	5.1939394492234396e-5	50
1000	0.1	1e-4	5	51	5.556682114847026e-5	51
1000	0.1	1e-4	5	52	2.303097831870036e-5	52
1000	0.1	1e-4	5	53	3.099736492385243e-6	53
1000	0.1	1e-4	5	54	-6.643164037527843e-5	54
1000	0.1	1e-4	5	55	1.0564483652426527e-4	55
1000	0.1	1e-4	5	56	6.779653952488493e-5	56
1000	0.1	1e-4	5	57	5.276323500502175e-5	57
1000	0.1	1e-4	5	58	5.224739063077919e-6	58
1000	0.1	1e-4	5	59	-4.381420842767927e-6	59
1000	0.1	1e-4	5	60	1.250371729398158e-5	60
1000	0.1	1e-4	5	61	7.742082169707685e-6	61
1000	0.1	1e-4	5	62	-6.37035729919412e-5	62
1000	0.1	1e-4	5	63	4.964280661593199e-5	63
1000	0.1	1e-4	5	64	-2.8266295750684444e-5	64
1000	0.1	1e-4	5	65	-1.7494308105350443e-6	65
1000	0.1	1e-4	5	66	-6.722294294165701e-5	66
1000	0.1	1e-4	5	67	5.3375994690537155e-5	67
1000	0.1	1e-4	5	68	-1.2086631540574482e-5	68
1000	0.1	1e-4	5	69	-7.670574177166815e-6	69
1000	0.1	1e-4	5	70	2.171227523306248e-5	70
1000	0.1	1e-4	5	71	3.65853884326341e-5	71
1000	0.1	1e-4	5	72	1.4239619369830637e-4	72
1000	0.1	1e-4	5	73	-3.69801882802094e-5	73
1000	0.1	1e-4	5	74	-2.8630560039045058e-5	74
1000	0.1	1e-4	5	75	1.0184395912884063e-5	75
1000	0.1	1e-4	5	76	-6.247650620579878e-5	76
1000	0.1	1e-4	5	77	-3.887937443151206e-5	77
1000	0.1	1e-4	5	78	-9.11723173334603e-6	78
1000	0.1	1e-4	5	79	3.6619918656829253e-5	79
1000	0.1	1e-4	5	80	1.4345915092042692e-4	80
1000	0.1	1e-4	5	81	2.05815257436663e-5	81
1000	0.1	1e-4	5	82	3.541413185048432e-5	82
1000	0.1	1e-4	5	83	-2.456221105308452e-5	83
1000	0.1	1e-4	5	84	-8.766724201442018e-5	84
1000	0.1	1e-4	5	85	-1.2076631555277011e-4	85
